"U:0","U:1","U:2","p","total(p)","Points:0","Points:1","Points:2"
0.1068,-0.010541,1.3554e-22,3.8944,4.6871,0.6,-0.2,0
0.47333,0.0010308,-1.0732e-22,3.8903,4.807,0.6,-0.1996,0
0.59732,-0.00017371,-1.1791e-22,3.8859,4.8795,0.6,-0.1992,0
0.65185,-0.00013943,-1.179e-22,3.8815,4.9158,0.6,-0.1988,0
0.70087,8.4824e-05,-1.179e-22,3.8771,4.9491,0.6,-0.1984,0
0.72847,0.0001311,-1.39e-22,3.8726,4.9679,0.6,-0.198,0
0.75179,0.00014187,-1.6431e-22,3.8682,4.9838,0.6,-0.1976,0
0.77512,0.00015265,-1.8962e-22,3.8638,4.9997,0.6,-0.1972,0
0.79844,0.00016343,-2.1493e-22,3.8594,5.0156,0.6,-0.1968,0
0.81268,0.00019047,-2.232e-22,3.8556,5.0246,0.6,-0.1964,0
0.82238,0.00022562,-2.2298e-22,3.8522,5.0303,0.6,-0.196,0
0.83209,0.00026076,-2.2276e-22,3.8487,5.0359,0.6,-0.1956,0
0.8418,0.0002959,-2.2254e-22,3.8453,5.0416,0.6,-0.1952,0
0.85151,0.00033105,-2.2232e-22,3.8419,5.0472,0.6,-0.1948,0
0.86122,0.00036619,-2.221e-22,3.8384,5.0529,0.6,-0.1944,0
0.87092,0.00040134,-2.2188e-22,3.835,5.0585,0.6,-0.194,0
0.88063,0.00043648,-2.2166e-22,3.8315,5.0641,0.6,-0.1936,0
0.8892,0.00045548,-2.0428e-22,3.828,5.0686,0.6,-0.1932,0
0.89547,0.00044205,-1.5242e-22,3.824,5.0707,0.6,-0.1928,0
0.90175,0.00042863,-1.0056e-22,3.8201,5.0729,0.6,-0.1924,0
0.90802,0.00041521,-4.8699e-23,3.8162,5.075,0.6,-0.192,0
0.9143,0.00040179,3.159e-24,3.8123,5.0771,0.6,-0.1916,0
0.92058,0.00038837,5.5019e-23,3.8084,5.0793,0.6,-0.1912,0
0.92685,0.00037495,1.0688e-22,3.8044,5.0814,0.6,-0.1908,0
0.93313,0.00036153,1.5874e-22,3.8005,5.0835,0.6,-0.1904,0
0.9394,0.0003481,2.106e-22,3.7966,5.0856,0.6,-0.19,0
0.94336,0.00039811,1.8618e-22,3.7927,5.0855,0.6,-0.1896,0
0.94732,0.00044812,1.6177e-22,3.7887,5.0853,0.6,-0.1892,0
0.95128,0.00049812,1.3735e-22,3.7848,5.0851,0.6,-0.1888,0
0.95524,0.00054813,1.1294e-22,3.7809,5.0849,0.6,-0.1884,0
0.9592,0.00059813,8.8523e-23,3.7769,5.0847,0.6,-0.188,0
0.96316,0.00064814,6.4108e-23,3.773,5.0845,0.6,-0.1876,0
0.96712,0.00069815,3.9694e-23,3.7691,5.0843,0.6,-0.1872,0
0.97108,0.00074815,1.5279e-23,3.7651,5.0841,0.6,-0.1868,0
0.97412,0.00077104,-9.4175e-24,3.7612,5.0829,0.6,-0.1864,0
