"U:0","U:1","U:2","arc_length","p","total(p)","Points:0","Points:1","Points:2"
0.21347,4.4908e-07,-1.7685e-24,0,-0.025394,-0.016802,0.6,-0.2,0
0.47347,1.5305e-05,7.0015e-25,0.00040001,-0.025393,0.10826,0.6,-0.1996,0
0.59746,1.9702e-05,7.7034e-25,0.0008,-0.025391,0.18613,0.6,-0.1992,0
0.65195,2.3244e-05,7.7031e-25,0.0012,-0.025392,0.22768,0.6,-0.1988,0
0.70094,2.6813e-05,7.7031e-25,0.0016,-0.025394,0.26621,0.6,-0.1984,0
0.72851,4.0686e-05,9.1328e-25,0.002,-0.025398,0.29028,0.6,-0.198,0
0.75181,5.6612e-05,1.0848e-24,0.0024,-0.025402,0.31146,0.6,-0.1976,0
0.77512,7.2539e-05,1.2562e-24,0.0028,-0.025407,0.33264,0.6,-0.1972,0
0.79842,8.8465e-05,1.4277e-24,0.0032,-0.025412,0.35382,0.6,-0.1968,0
0.81265,0.00010556,1.485e-24,0.0036,-0.025416,0.36738,0.6,-0.1964,0
0.82235,0.00012324,1.4853e-24,0.004,-0.025421,0.37713,0.6,-0.196,0
0.83205,0.00014093,1.4857e-24,0.0044,-0.025426,0.38689,0.6,-0.1956,0
0.84175,0.00015861,1.486e-24,0.0048,-0.025431,0.39664,0.6,-0.1952,0
0.85145,0.00017629,1.4864e-24,0.0052,-0.025436,0.4064,0.6,-0.1948,0
0.86115,0.00019397,1.4867e-24,0.0056,-0.025441,0.41615,0.6,-0.1944,0
0.87085,0.00021165,1.4871e-24,0.006,-0.025446,0.4259,0.6,-0.194,0
0.88055,0.00022933,1.4874e-24,0.0064,-0.025451,0.43566,0.6,-0.1936,0
0.88911,0.00024947,1.3725e-24,0.0068,-0.025456,0.44444,0.6,-0.1932,0
0.89538,0.00027454,1.026e-24,0.0072,-0.025463,0.45126,0.6,-0.1928,0
0.90166,0.00029961,6.7947e-25,0.0076,-0.025469,0.45808,0.6,-0.1924,0
0.90793,0.00032468,3.3296e-25,0.008,-0.025475,0.4649,0.6,-0.192,0
0.9142,0.00034975,-1.3539e-26,0.0084,-0.025481,0.47172,0.6,-0.1916,0
0.92047,0.00037482,-3.6005e-25,0.0088,-0.025488,0.47853,0.6,-0.1912,0
0.92675,0.00039989,-7.0656e-25,0.0092,-0.025494,0.48535,0.6,-0.1908,0
0.93302,0.00042496,-1.0531e-24,0.0096,-0.0255,0.49217,0.6,-0.1904,0
0.93929,0.00045004,-1.3996e-24,0.01,-0.025507,0.49899,0.6,-0.19,0
0.94325,0.00047601,-1.234e-24,0.0104,-0.025512,0.50351,0.6,-0.1896,0
0.94721,0.00050199,-1.0684e-24,0.0108,-0.025517,0.50803,0.6,-0.1892,0
0.95117,0.00052796,-9.0286e-25,0.0112,-0.025523,0.51255,0.6,-0.1888,0
0.95513,0.00055394,-7.3729e-25,0.0116,-0.025528,0.51706,0.6,-0.1884,0
0.95909,0.00057992,-5.7172e-25,0.012,-0.025534,0.52158,0.6,-0.188,0
0.96305,0.00060589,-4.0615e-25,0.0124,-0.025539,0.5261,0.6,-0.1876,0
0.967,0.00063187,-2.4058e-25,0.0128,-0.025545,0.53062,0.6,-0.1872,0
0.97096,0.00065785,-7.5006e-26,0.0132,-0.02555,0.53513,0.6,-0.1868,0
0.97401,0.00068365,9.2499e-26,0.0136,-0.025555,0.53867,0.6,-0.1864,0
0.9766,0.00070936,2.6096e-25,0.014,-0.025559,0.54171,0.6,-0.186,0
0.97919,0.00073507,4.2943e-25,0.0144,-0.025563,0.54476,0.6,-0.1856,0
0.98178,0.00076078,5.9789e-25,0.0148,-0.025568,0.5478,0.6,-0.1852,0
0.98437,0.00078649,7.6636e-25,0.0152,-0.025572,0.55084,0.6,-0.1848,0
0.98696,0.0008122,9.3482e-25,0.0156,-0.025576,0.55389,0.6,-0.1844,0
0.98955,0.00083791,1.1033e-24,0.016,-0.025581,0.55693,0.6,-0.184,0
0.99214,0.00086362,1.2717e-24,0.0164,-0.025585,0.55998,0.6,-0.1836,0
0.99444,0.00088902,1.2752e-24,0.0168,-0.025589,0.56269,0.6,-0.1832,0
0.99614,0.0009138,9.4749e-25,0.0172,-0.025593,0.56473,0.6,-0.1828,0
0.99785,0.00093858,6.1974e-25,0.0176,-0.025597,0.56677,0.6,-0.1824,0
0.99955,0.00096337,2.9198e-25,0.018,-0.0256,0.5688,0.6,-0.182,0
1.0013,0.00098815,-3.5759e-26,0.0184,-0.025604,0.57084,0.6,-0.1816,0
1.003,0.0010129,-3.6351e-25,0.0188,-0.025608,0.57288,0.6,-0.1812,0
1.0047,0.0010377,-6.9125e-25,0.0192,-0.025611,0.57492,0.6,-0.1808,0
1.0064,0.0010625,-1.019e-24,0.0196,-0.025615,0.57696,0.6,-0.1804,0
1.0081,0.0010873,-1.3467e-24,0.02,-0.025619,0.579,0.6,-0.18,0
1.0092,0.0011111,-1.1864e-24,0.0204,-0.025622,0.58036,0.6,-0.1796,0
1.0103,0.0011349,-1.0261e-24,0.0208,-0.025625,0.58172,0.6,-0.1792,0
1.0114,0.0011588,-8.6579e-25,0.0212,-0.025629,0.58308,0.6,-0.1788,0
1.0126,0.0011826,-7.0548e-25,0.0216,-0.025632,0.58444,0.6,-0.1784,0
1.0137,0.0012065,-5.4516e-25,0.022,-0.025635,0.5858,0.6,-0.178,0
1.0148,0.0012303,-3.8484e-25,0.0224,-0.025639,0.58716,0.6,-0.1776,0
1.0159,0.0012541,-2.2453e-25,0.0228,-0.025642,0.58852,0.6,-0.1772,0
1.0171,0.001278,-6.4205e-26,0.0232,-0.025646,0.58988,0.6,-0.1768,0
1.0179,0.0013014,9.7205e-26,0.0236,-0.025649,0.59094,0.6,-0.1764,0
1.0187,0.0013245,2.5917e-25,0.024,-0.025652,0.59185,0.6,-0.176,0
1.0194,0.0013477,4.2112e-25,0.0244,-0.025656,0.59276,0.6,-0.1756,0
1.0202,0.0013709,5.8308e-25,0.0248,-0.025659,0.59367,0.6,-0.1752,0
1.0209,0.0013941,7.4504e-25,0.0252,-0.025662,0.59457,0.6,-0.1748,0
1.0217,0.0014172,9.07e-25,0.0256,-0.025665,0.59548,0.6,-0.1744,0
1.0224,0.0014404,1.069e-24,0.026,-0.025669,0.59639,0.6,-0.174,0
1.0231,0.0014636,1.2309e-24,0.0264,-0.025672,0.5973,0.6,-0.1736,0
1.0238,0.0014866,1.233e-24,0.0268,-0.025676,0.59811,0.6,-0.1732,0
1.0243,0.0015093,9.1427e-25,0.0272,-0.025679,0.59872,0.6,-0.1728,0
1.0248,0.0015321,5.955e-25,0.0276,-0.025683,0.59933,0.6,-0.1724,0
1.0253,0.0015548,2.7674e-25,0.028,-0.025686,0.59994,0.6,-0.172,0
1.0258,0.0015776,-4.2028e-26,0.0284,-0.02569,0.60055,0.6,-0.1716,0
1.0263,0.0016003,-3.6079e-25,0.0288,-0.025693,0.60116,0.6,-0.1712,0
1.0268,0.0016231,-6.7956e-25,0.0292,-0.025697,0.60177,0.6,-0.1708,0
1.0273,0.0016458,-9.9832e-25,0.0296,-0.025701,0.60238,0.6,-0.1704,0
1.0278,0.0016686,-1.3171e-24,0.03,-0.025704,0.60299,0.6,-0.17,0
1.0281,0.0016911,-1.1594e-24,0.0304,-0.025708,0.60339,0.6,-0.1696,0
1.0285,0.0017137,-1.0018e-24,0.0308,-0.025712,0.6038,0.6,-0.1692,0
1.0288,0.0017362,-8.4413e-25,0.0312,-0.025716,0.60421,0.6,-0.1688,0
1.0291,0.0017587,-6.8649e-25,0.0316,-0.02572,0.60461,0.6,-0.1684,0
1.0295,0.0017813,-5.2884e-25,0.032,-0.025724,0.60502,0.6,-0.168,0
1.0298,0.0018038,-3.7119e-25,0.0324,-0.025728,0.60543,0.6,-0.1676,0
1.0301,0.0018264,-2.1354e-25,0.0328,-0.025732,0.60584,0.6,-0.1672,0
1.0305,0.0018489,-5.5889e-26,0.0332,-0.025736,0.60624,0.6,-0.1668,0
1.0307,0.0018715,1.023e-25,0.0336,-0.02574,0.60656,0.6,-0.1664,0
1.0309,0.0018941,2.6075e-25,0.034,-0.025744,0.60682,0.6,-0.166,0
1.0312,0.0019168,4.1921e-25,0.0344,-0.025749,0.60709,0.6,-0.1656,0
1.0314,0.0019394,5.7767e-25,0.0348,-0.025753,0.60735,0.6,-0.1652,0
1.0316,0.001962,7.3612e-25,0.0352,-0.025758,0.60762,0.6,-0.1648,0
1.0318,0.0019846,8.9458e-25,0.0356,-0.025762,0.60789,0.6,-0.1644,0
1.032,0.0020072,1.053e-24,0.036,-0.025767,0.60815,0.6,-0.164,0
1.0323,0.0020298,1.2115e-24,0.0364,-0.025771,0.60842,0.6,-0.1636,0
1.0325,0.0020526,1.2126e-24,0.0368,-0.025776,0.60865,0.6,-0.1632,0
1.0326,0.0020755,8.9781e-25,0.0372,-0.02578,0.60882,0.6,-0.1628,0
1.0327,0.0020984,5.8302e-25,0.0376,-0.025785,0.60898,0.6,-0.1624,0
1.0329,0.0021213,2.6823e-25,0.038,-0.02579,0.60915,0.6,-0.162,0
1.033,0.0021442,-4.6549e-26,0.0384,-0.025795,0.60931,0.6,-0.1616,0
1.0331,0.0021671,-3.6134e-25,0.0388,-0.0258,0.60948,0.6,-0.1612,0
1.0333,0.00219,-6.7613e-25,0.0392,-0.025805,0.60965,0.6,-0.1608,0
1.0334,0.0022129,-9.9092e-25,0.0396,-0.02581,0.60981,0.6,-0.1604,0
1.0336,0.0022359,-1.3057e-24,0.04,-0.025815,0.60998,0.6,-0.16,0
1.0336,0.0022593,-1.1488e-24,0.0404,-0.025821,0.61007,0.6,-0.1596,0
1.0337,0.0022827,-9.9185e-25,0.0408,-0.025826,0.61016,0.6,-0.1592,0
1.0338,0.0023061,-8.3493e-25,0.0412,-0.025832,0.61026,0.6,-0.1588,0
1.0339,0.0023295,-6.78e-25,0.0416,-0.025837,0.61035,0.6,-0.1584,0
1.034,0.0023529,-5.2107e-25,0.042,-0.025843,0.61044,0.6,-0.158,0
1.034,0.0023763,-3.6414e-25,0.0424,-0.025848,0.61053,0.6,-0.1576,0
1.0341,0.0023997,-2.0722e-25,0.0428,-0.025854,0.61063,0.6,-0.1572,0
1.0342,0.0024231,-5.0287e-26,0.0432,-0.025859,0.61072,0.6,-0.1568,0
1.0343,0.0024469,1.0685e-25,0.0436,-0.025865,0.61078,0.6,-0.1564,0
1.0343,0.002471,2.6409e-25,0.044,-0.025871,0.61082,0.6,-0.156,0
1.0343,0.0024951,4.2134e-25,0.0444,-0.025878,0.61085,0.6,-0.1556,0
1.0344,0.0025192,5.7857e-25,0.0448,-0.025884,0.61089,0.6,-0.1552,0
1.0344,0.0025433,7.3582e-25,0.0452,-0.02589,0.61093,0.6,-0.1548,0
1.0344,0.0025674,8.9306e-25,0.0456,-0.025896,0.61097,0.6,-0.1544,0
1.0345,0.0025915,1.0503e-24,0.046,-0.025902,0.61101,0.6,-0.154,0
1.0345,0.0026156,1.2075e-24,0.0464,-0.025908,0.61105,0.6,-0.1536,0
1.0345,0.00264,1.208e-24,0.0468,-0.025914,0.61107,0.6,-0.1532,0
1.0345,0.002665,8.9381e-25,0.0472,-0.025921,0.61107,0.6,-0.1528,0
1.0345,0.00269,5.7958e-25,0.0476,-0.025928,0.61107,0.6,-0.1524,0
1.0346,0.002715,2.6535e-25,0.048,-0.025934,0.61106,0.6,-0.152,0
1.0346,0.00274,-4.8865e-26,0.0484,-0.025941,0.61106,0.6,-0.1516,0
1.0346,0.002765,-3.6309e-25,0.0488,-0.025948,0.61106,0.6,-0.1512,0
1.0346,0.00279,-6.7731e-25,0.0492,-0.025954,0.61106,0.6,-0.1508,0
1.0346,0.002815,-9.9154e-25,0.0496,-0.025961,0.61106,0.6,-0.1504,0
1.0346,0.00284,-1.3058e-24,0.05,-0.025968,0.61105,0.6,-0.15,0
1.0346,0.0028661,-1.1484e-24,0.0504,-0.025975,0.61102,0.6,-0.1496,0
1.0345,0.0028922,-9.9114e-25,0.0508,-0.025982,0.61099,0.6,-0.1492,0
1.0345,0.0029182,-8.3383e-25,0.0512,-0.025989,0.61095,0.6,-0.1488,0
1.0345,0.0029443,-6.7652e-25,0.0516,-0.025997,0.61092,0.6,-0.1484,0
1.0345,0.0029704,-5.1921e-25,0.052,-0.026004,0.61089,0.6,-0.148,0
1.0345,0.0029964,-3.619e-25,0.0524,-0.026011,0.61085,0.6,-0.1476,0
1.0344,0.0030225,-2.0459e-25,0.0528,-0.026018,0.61082,0.6,-0.1472,0
1.0344,0.0030485,-4.7276e-26,0.0532,-0.026025,0.61079,0.6,-0.1468,0
1.0344,0.0030754,1.1009e-25,0.0536,-0.026033,0.61074,0.6,-0.1464,0
1.0343,0.0031027,2.675e-25,0.054,-0.02604,0.61068,0.6,-0.146,0
1.0343,0.00313,4.249e-25,0.0544,-0.026048,0.61062,0.6,-0.1456,0
1.0343,0.0031573,5.823e-25,0.0548,-0.026056,0.61056,0.6,-0.1452,0
1.0342,0.0031846,7.397e-25,0.0552,-0.026064,0.61051,0.6,-0.1448,0
1.0342,0.0032119,8.9711e-25,0.0556,-0.026071,0.61045,0.6,-0.1444,0
1.0342,0.0032392,1.0545e-24,0.056,-0.026079,0.61039,0.6,-0.144,0
1.0341,0.0032665,1.2119e-24,0.0564,-0.026087,0.61033,0.6,-0.1436,0
1.0341,0.0032943,1.2121e-24,0.0568,-0.026094,0.61027,0.6,-0.1432,0
1.034,0.003323,8.9654e-25,0.0572,-0.026102,0.61019,0.6,-0.1428,0
1.034,0.0033518,5.8101e-25,0.0576,-0.02611,0.61012,0.6,-0.1424,0
1.0339,0.0033805,2.6549e-25,0.058,-0.026119,0.61004,0.6,-0.142,0
1.0339,0.0034092,-5.004e-26,0.0584,-0.026127,0.60997,0.6,-0.1416,0
1.0338,0.0034379,-3.6556e-25,0.0588,-0.026135,0.60989,0.6,-0.1412,0
1.0337,0.0034667,-6.8109e-25,0.0592,-0.026143,0.60981,0.6,-0.1408,0
1.0337,0.0034954,-9.9661e-25,0.0596,-0.026151,0.60974,0.6,-0.1404,0
1.0336,0.0035241,-1.3121e-24,0.06,-0.026159,0.60966,0.6,-0.14,0
1.0336,0.0035544,-1.1538e-24,0.0604,-0.026167,0.60957,0.6,-0.1396,0
1.0335,0.0035847,-9.9553e-25,0.0608,-0.026176,0.60948,0.6,-0.1392,0
1.0334,0.003615,-8.3723e-25,0.0612,-0.026184,0.60938,0.6,-0.1388,0
1.0334,0.0036453,-6.7892e-25,0.0616,-0.026193,0.60929,0.6,-0.1384,0
1.0333,0.0036756,-5.2062e-25,0.062,-0.026201,0.6092,0.6,-0.138,0
1.0332,0.0037059,-3.6232e-25,0.0624,-0.026209,0.60911,0.6,-0.1376,0
1.0332,0.0037362,-2.0401e-25,0.0628,-0.026218,0.60902,0.6,-0.1372,0
1.0331,0.0037665,-4.571e-26,0.0632,-0.026226,0.60892,0.6,-0.1368,0
1.033,0.0037979,6.3618e-27,0.0636,-0.026235,0.60882,0.6,-0.1364,0
1.033,0.0038299,5.5118e-27,0.064,-0.026243,0.60872,0.6,-0.136,0
1.0329,0.0038619,4.6617e-27,0.0644,-0.026252,0.60861,0.6,-0.1356,0
1.0328,0.003894,3.8116e-27,0.0648,-0.026261,0.60851,0.6,-0.1352,0
1.0327,0.003926,2.9615e-27,0.0652,-0.026269,0.6084,0.6,-0.1348,0
1.0327,0.003958,2.1114e-27,0.0656,-0.026278,0.6083,0.6,-0.1344,0
1.0326,0.00399,1.2613e-27,0.066,-0.026286,0.60819,0.6,-0.134,0
1.0325,0.004022,4.1123e-28,0.0664,-0.026295,0.60809,0.6,-0.1336,0
1.0324,0.0040547,-5.2925e-26,0.0668,-0.026304,0.60798,0.6,-0.1332,0
