"p","U:0","U:1","U:2","Co","k","nut","omega","total(p)","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.9147,0.17954,-0.023071,0,0.13473,0.00020704,0,7378.7,4.6977,-0.0017243,0.00029544,0,0.82063,1,0,0.6,-0.2,0
3.893,0.66401,-3.7094e-05,-4.9856e-23,0.49826,0.0059268,2.9834e-05,246.74,4.938,0,0,0,0,1,0.002,0.6,-0.198,0
3.8725,0.7488,-0.00016475,-2.4851e-22,0.56188,0.0054629,5.4564e-05,115.05,4.9849,0,0,0,0,1,0.004,0.6,-0.196,0
3.8553,0.79218,-0.00020912,-2.4834e-22,0.59445,0.0049852,7.1883e-05,77.14,5.0041,0,0,0,0,1,0.006,0.6,-0.194,0
3.8366,0.82584,-0.00047502,-1.4832e-22,0.61977,0.0044814,8.7217e-05,54.609,5.0138,0,0,0,0,1,0.008,0.6,-0.192,0
3.817,0.85466,-0.00084982,1.1606e-24,0.64148,0.0039649,0.00010155,39.725,5.0189,0,0,0,0,1,0.01,0.6,-0.19,0
3.7974,0.87474,-0.00084785,1.3476e-22,0.65667,0.003566,0.00010998,32.874,5.0163,0,0,0,0,1,0.012,0.6,-0.188,0
3.7778,0.89329,-0.00092389,2.2289e-22,0.67072,0.003188,0.00011665,27.01,5.0123,0,0,0,0,1,0.014,0.6,-0.186,0
3.7582,0.90884,-0.0011538,2.2135e-22,0.68252,0.0028513,0.00011986,23.089,5.0056,0,0,0,0,1,0.016,0.6,-0.184,0
3.7386,0.92243,-0.0013018,4.5522e-23,0.69283,0.0025412,0.00012118,20.055,4.997,0,0,0,0,1,0.018,0.6,-0.182,0
3.719,0.93506,-0.0014101,-2.1323e-22,0.70241,0.0022442,0.00012157,17.46,4.9875,0,0,0,0,1,0.02,0.6,-0.18,0
3.6994,0.94538,-0.0015771,-8.5731e-23,0.71027,0.0019848,0.00012134,15.621,4.9756,0,0,0,0,1,0.022,0.6,-0.178,0
3.6798,0.95503,-0.0017357,4.1368e-23,0.71763,0.0017402,0.00012063,13.946,4.9631,0,0,0,0,1,0.024,0.6,-0.176,0
3.6602,0.96334,-0.001878,1.6731e-22,0.72401,0.0015241,0.000119,12.589,4.9492,0,0,0,0,1,0.026,0.6,-0.174,0
3.6407,0.97049,-0.0020274,1.2479e-22,0.7295,0.0013376,0.00011631,11.397,4.9339,0,0,0,0,1,0.028,0.6,-0.172,0
3.6211,0.97706,-0.0021802,2.0007e-24,0.73454,0.0011658,0.00011312,10.285,4.9181,0,0,0,0,1,0.03,0.6,-0.17,0
3.6015,0.98207,-0.0023206,3.4613e-24,0.73838,0.0010367,0.00011114,9.3052,4.9005,0,0,0,0,1,0.032,0.6,-0.168,0
3.5819,0.98658,-0.0024566,4.4716e-23,0.74185,0.00092124,0.00011001,8.3743,4.8823,0,0,0,0,1,0.034,0.6,-0.166,0
3.5623,0.99014,-0.0025837,1.6213e-22,0.74461,0.00083213,0.00011049,7.5383,4.863,0,0,0,0,1,0.036,0.6,-0.164,0
3.5427,0.9929,-0.0026958,2.8007e-22,0.74678,0.00076458,0.00011257,6.8141,4.8428,0,0,0,0,1,0.038,0.6,-0.162,0
3.5232,0.99527,-0.0028005,3.9604e-22,0.74865,0.0007076,0.00011541,6.1454,4.8221,0,0,0,0,1,0.04,0.6,-0.16,0
3.5036,0.9968,-0.002885,2.7418e-22,0.74988,0.00067273,0.00011912,5.6673,4.8005,0,0,0,0,1,0.042,0.6,-0.158,0
3.484,0.99813,-0.0029634,1.5348e-22,0.75095,0.000643,0.00012247,5.2591,4.7786,0,0,0,0,1,0.044,0.6,-0.156,0
3.4644,0.99909,-0.0030303,3.5079e-23,0.7517,0.00062307,0.00012513,4.9847,4.7563,0,0,0,0,1,0.046,0.6,-0.154,0
3.4449,0.99981,-0.0030879,-1.849e-24,0.75227,0.00060946,0.00012695,4.8031,4.7336,0,0,0,0,1,0.048,0.6,-0.152,0
3.4253,1.0004,-0.0031411,-1.3567e-24,0.75273,0.00059891,0.00012836,4.6664,4.7109,0,0,0,0,1,0.05,0.6,-0.15,0
3.4057,1.0007,-0.003184,-1.14e-22,0.75302,0.00059374,0.0001292,4.5961,4.6878,0,0,0,0,1,0.052,0.6,-0.148,0
3.3862,1.001,-0.0032243,-1.8756e-22,0.75326,0.00058967,0.00012997,4.5373,4.6646,0,0,0,0,1,0.054,0.6,-0.146,0
3.3666,1.0012,-0.0032596,-1.8746e-22,0.75342,0.00058768,0.0001306,4.5001,4.6413,0,0,0,0,1,0.056,0.6,-0.144,0
3.3471,1.0012,-0.0032916,-1.8448e-22,0.7535,0.00058696,0.00013117,4.475,4.6179,0,0,0,0,1,0.058,0.6,-0.142,0
3.3275,1.0012,-0.0033218,-1.8006e-22,0.75355,0.00058684,0.00013171,4.4556,4.5945,0,0,0,0,1,0.06,0.6,-0.14,0
3.3079,1.0011,-0.0033495,-1.7985e-22,0.75351,0.00058775,0.00013216,4.4474,4.5709,0,0,0,0,1,0.062,0.6,-0.138,0
3.2884,1.001,-0.0033767,-6.7341e-23,0.75345,0.00058886,0.00013255,4.4424,4.5473,0,0,0,0,1,0.064,0.6,-0.136,0
3.2688,1.0009,-0.0034032,2.5516e-22,0.75334,0.00059032,0.00013285,4.4435,4.5236,0,0,0,0,1,0.066,0.6,-0.134,0
3.2493,1.0007,-0.00343,3.5779e-22,0.75319,0.00059192,0.00013297,4.4515,4.4999,0,0,0,0,1,0.068,0.6,-0.132,0
3.2298,1.0004,-0.0034569,3.5615e-22,0.75302,0.00059359,0.00013301,4.4628,4.4762,0,0,0,0,1,0.07,0.6,-0.13,0
3.2102,1.0001,-0.0034856,2.4699e-22,0.75282,0.00059521,0.00013266,4.4867,4.4524,0,0,0,0,1,0.072,0.6,-0.128,0
3.1907,0.9998,-0.0035149,1.7452e-22,0.75261,0.00059674,0.00013213,4.5165,4.4286,0,0,0,0,1,0.074,0.6,-0.126,0
3.1711,0.99944,-0.0035457,1.7163e-22,0.7524,0.00059809,0.00013125,4.5574,4.4047,0,0,0,0,1,0.076,0.6,-0.124,0
