"U:0","U:1","U:2","arc_length","p","total(p)","Points:0","Points:1","Points:2"
0.18891,-0.022711,0,0,3.9163,4.6995,0.6,-0.2,0
0.68192,2.2879e-05,-4.9318e-23,0.002,3.8945,4.9544,0.6,-0.198,0
0.76879,-6.5244e-05,-2.4583e-22,0.004,3.8741,5.0051,0.6,-0.196,0
0.81316,-4.23e-05,-2.4566e-22,0.006,3.8569,5.0262,0.6,-0.194,0
0.84732,-0.00018899,-1.4672e-22,0.008,3.8381,5.0373,0.6,-0.192,0
0.8764,-0.000419,1.1442e-24,0.01,3.8186,5.0434,0.6,-0.19,0
0.8959,-0.00033266,1.3192e-22,0.012,3.799,5.0407,0.6,-0.188,0
0.91358,-0.00031257,2.1819e-22,0.014,3.7794,5.0362,0.6,-0.186,0
0.92766,-0.00042313,2.1669e-22,0.016,3.7598,5.0282,0.6,-0.184,0
0.93935,-0.00045166,4.5739e-23,0.018,3.7402,5.0178,0.6,-0.182,0
0.94987,-0.0004402,-2.0583e-22,0.02,3.7206,5.0061,0.6,-0.18,0
0.95789,-0.00047657,-8.3555e-23,0.022,3.701,4.9918,0.6,-0.178,0
0.96529,-0.00050327,3.8609e-23,0.024,3.6814,4.9768,0.6,-0.176,0
0.97146,-0.00051111,1.6018e-22,0.026,3.6618,4.9605,0.6,-0.174,0
0.97668,-0.00052304,1.1971e-22,0.028,3.6423,4.9431,0.6,-0.172,0
0.98144,-0.0005369,1.9916e-24,0.03,3.6227,4.9251,0.6,-0.17,0
0.98511,-0.00054556,3.3811e-24,0.032,3.6031,4.906,0.6,-0.168,0
0.9885,-0.0005545,4.2016e-23,0.034,3.5835,4.8865,0.6,-0.166,0
0.99133,-0.00056396,1.5193e-22,0.036,3.5639,4.8664,0.6,-0.164,0
0.99371,-0.00057325,2.6234e-22,0.038,3.5444,4.8457,0.6,-0.162,0
0.99586,-0.00058247,3.7091e-22,0.04,3.5248,4.8248,0.6,-0.16,0
0.9975,-0.00059253,2.5674e-22,0.042,3.5052,4.8033,0.6,-0.158,0
0.99899,-0.00060297,1.4368e-22,0.044,3.4856,4.7816,0.6,-0.156,0
1.0002,-0.00061415,3.2836e-23,0.046,3.4661,4.7595,0.6,-0.154,0
1.0012,-0.00062625,-1.7344e-24,0.048,3.4465,4.7372,0.6,-0.152,0
1.0021,-0.00063881,-1.268e-24,0.05,3.4269,4.7148,0.6,-0.15,0
1.0027,-0.00065277,-1.0641e-22,0.052,3.4074,4.692,0.6,-0.148,0
1.0032,-0.00066716,-1.7509e-22,0.054,3.3878,4.6692,0.6,-0.146,0
1.0036,-0.00068237,-1.7499e-22,0.056,3.3682,4.6462,0.6,-0.144,0
1.0039,-0.00069838,-1.7201e-22,0.058,3.3487,4.623,0.6,-0.142,0
1.0041,-0.00071475,-1.676e-22,0.06,3.3291,4.5998,0.6,-0.14,0
1.0041,-0.00073224,-1.6741e-22,0.062,3.3095,4.5764,0.6,-0.138,0
1.0041,-0.00075002,-6.255e-23,0.064,3.29,4.5529,0.6,-0.136,0
1.0041,-0.00076836,2.3802e-22,0.066,3.2704,4.5294,0.6,-0.134,0
1.0039,-0.0007872,3.3367e-22,0.068,3.2509,4.5057,0.6,-0.132,0
1.0037,-0.00080626,3.3214e-22,0.07,3.2313,4.4821,0.6,-0.13,0
1.0035,-0.00082598,2.305e-22,0.072,3.2118,4.4583,0.6,-0.128,0
1.0031,-0.00084565,1.6301e-22,0.074,3.1922,4.4344,0.6,-0.126,0
1.0028,-0.00086528,1.6031e-22,0.076,3.1727,4.4105,0.6,-0.124,0
1.0023,-0.0008845,9.2753e-23,0.078,3.1531,4.3866,0.6,-0.122,0
1.0019,-0.00090348,-3.6066e-24,0.08,3.1336,4.3626,0.6,-0.12,0
1.0013,-0.00092089,7.3481e-23,0.082,3.1141,4.3384,0.6,-0.118,0
1.0007,-0.00093722,1.6479e-22,0.084,3.0945,4.3143,0.6,-0.116,0
1,-0.00095155,2.8278e-22,0.086,3.075,4.29,0.6,-0.114,0
0.99926,-0.0009623,2.6999e-22,0.088,3.0555,4.2657,0.6,-0.112,0
0.99846,-0.00097123,1.9357e-22,0.09,3.0359,4.2413,0.6,-0.11,0
0.9975,-0.00097216,-1.9576e-23,0.092,3.0164,4.2167,0.6,-0.108,0
0.99647,-0.0009686,-1.5798e-22,0.094,2.9969,4.1921,0.6,-0.106,0
0.99531,-0.00095658,-1.5558e-22,0.096,2.9774,4.1673,0.6,-0.104,0
0.99398,-0.00093109,-8.7311e-23,0.098,2.9579,4.1423,0.6,-0.102,0
0.99257,-0.00089883,1.0571e-23,0.1,2.9384,4.1172,0.6,-0.1,0
0.99083,-0.00083723,8.3187e-24,0.102,2.9189,4.0917,0.6,-0.098,0
0.98893,-0.00076041,5.4172e-24,0.104,2.8994,4.066,0.6,-0.096,0
