"U:0","U:1","U:2","arc_length","p","total(p)","Points:0","Points:1","Points:2"
0.21556,-0.021014,0,0,3.9143,4.6972,0.6,-0.2,0
0.73281,5.7651e-05,-4.4701e-23,0.002,3.8925,4.9956,0.6,-0.198,0
0.82702,6.0946e-05,-2.2282e-22,0.004,3.8721,5.0588,0.6,-0.196,0
0.87564,0.00017205,-2.2266e-22,0.006,3.8549,5.0874,0.6,-0.194,0
0.91272,0.00015049,-1.3299e-22,0.008,3.8362,5.1041,0.6,-0.192,0
0.94405,6.3934e-05,1.0252e-24,0.01,3.8166,5.1149,0.6,-0.19,0
0.9638,0.00028692,1.2067e-22,0.012,3.797,5.1141,0.6,-0.188,0
0.98125,0.00043637,1.996e-22,0.014,3.7774,5.1107,0.6,-0.186,0
0.99416,0.00044079,1.9824e-22,0.016,3.7578,5.1025,0.6,-0.184,0
1.0041,0.00053341,4.1699e-23,0.018,3.7383,5.0909,0.6,-0.182,0
1.0126,0.00066888,-1.8867e-22,0.02,3.7187,5.0776,0.6,-0.18,0
1.0182,0.00072204,-7.6599e-23,0.022,3.6991,5.0609,0.6,-0.178,0
1.0231,0.00078351,3.5375e-23,0.024,3.6795,5.0435,0.6,-0.176,0
1.0268,0.00086116,1.4681e-22,0.026,3.6599,5.0246,0.6,-0.174,0
1.0297,0.00092585,1.097e-22,0.028,3.6404,5.0046,0.6,-0.172,0
1.0322,0.00098424,1.7882e-24,0.03,3.6208,4.9842,0.6,-0.17,0
1.0338,0.0010419,3.0616e-24,0.032,3.6012,4.9627,0.6,-0.168,0
1.0353,0.0010979,3.8579e-23,0.034,3.5816,4.9411,0.6,-0.166,0
1.0364,0.0011508,1.3963e-22,0.036,3.562,4.9189,0.6,-0.164,0
1.0372,0.0012026,2.412e-22,0.038,3.5425,4.8964,0.6,-0.162,0
1.0379,0.001254,3.411e-22,0.04,3.5229,4.8738,0.6,-0.16,0
1.0383,0.0013047,2.3616e-22,0.042,3.5033,4.8508,0.6,-0.158,0
1.0386,0.0013556,1.3221e-22,0.044,3.4838,4.8277,0.6,-0.156,0
1.0387,0.0014069,3.0213e-23,0.046,3.4642,4.8044,0.6,-0.154,0
1.0388,0.0014595,-1.5977e-24,0.048,3.4446,4.781,0.6,-0.152,0
1.0388,0.0015127,-1.1713e-24,0.05,3.4251,4.7575,0.6,-0.15,0
1.0387,0.0015688,-9.8226e-23,0.052,3.4055,4.7339,0.6,-0.148,0
1.0385,0.0016264,-1.6161e-22,0.054,3.3859,4.7103,0.6,-0.146,0
1.0383,0.0016867,-1.6153e-22,0.056,3.3664,4.6865,0.6,-0.144,0
1.0381,0.0017507,-1.5887e-22,0.058,3.3468,4.6627,0.6,-0.142,0
1.0378,0.0018166,-1.5494e-22,0.06,3.3272,4.6389,0.6,-0.14,0
1.0374,0.0018887,-1.5477e-22,0.062,3.3077,4.6149,0.6,-0.138,0
1.037,0.0019636,-5.7854e-23,0.064,3.2881,4.591,0.6,-0.136,0
