"U:0","U:1","U:2","arc_length","p","total(p)","Points:0","Points:1","Points:2"
0.17954,-0.023071,0,0,3.9147,4.6977,0.6,-0.2,0
0.66401,-3.7094e-05,-4.9856e-23,0.002,3.893,4.938,0.6,-0.198,0
0.7488,-0.00016475,-2.4851e-22,0.004,3.8725,4.9849,0.6,-0.196,0
0.79218,-0.00020912,-2.4834e-22,0.006,3.8553,5.0041,0.6,-0.194,0
0.82584,-0.00047502,-1.4832e-22,0.008,3.8366,5.0138,0.6,-0.192,0
0.85466,-0.00084982,1.1606e-24,0.01,3.817,5.0189,0.6,-0.19,0
0.87474,-0.00084785,1.3476e-22,0.012,3.7974,5.0163,0.6,-0.188,0
0.89329,-0.00092389,2.2289e-22,0.014,3.7778,5.0123,0.6,-0.186,0
0.90884,-0.0011538,2.2135e-22,0.016,3.7582,5.0056,0.6,-0.184,0
0.92243,-0.0013018,4.5522e-23,0.018,3.7386,4.997,0.6,-0.182,0
0.93506,-0.0014101,-2.1323e-22,0.02,3.719,4.9875,0.6,-0.18,0
0.94538,-0.0015771,-8.5731e-23,0.022,3.6994,4.9756,0.6,-0.178,0
0.95503,-0.0017357,4.1368e-23,0.024,3.6798,4.9631,0.6,-0.176,0
0.96334,-0.001878,1.6731e-22,0.026,3.6602,4.9492,0.6,-0.174,0
0.97049,-0.0020274,1.2479e-22,0.028,3.6407,4.9339,0.6,-0.172,0
0.97706,-0.0021802,2.0007e-24,0.03,3.6211,4.9181,0.6,-0.17,0
0.98207,-0.0023206,3.4613e-24,0.032,3.6015,4.9005,0.6,-0.168,0
0.98658,-0.0024566,4.4716e-23,0.034,3.5819,4.8823,0.6,-0.166,0
0.99014,-0.0025837,1.6213e-22,0.036,3.5623,4.863,0.6,-0.164,0
0.9929,-0.0026958,2.8007e-22,0.038,3.5427,4.8428,0.6,-0.162,0
0.99527,-0.0028005,3.9604e-22,0.04,3.5232,4.8221,0.6,-0.16,0
0.9968,-0.002885,2.7418e-22,0.042,3.5036,4.8005,0.6,-0.158,0
0.99813,-0.0029634,1.5348e-22,0.044,3.484,4.7786,0.6,-0.156,0
0.99909,-0.0030303,3.5079e-23,0.046,3.4644,4.7563,0.6,-0.154,0
0.99981,-0.0030879,-1.849e-24,0.048,3.4449,4.7336,0.6,-0.152,0
1.0004,-0.0031411,-1.3567e-24,0.05,3.4253,4.7109,0.6,-0.15,0
1.0007,-0.003184,-1.14e-22,0.052,3.4057,4.6878,0.6,-0.148,0
1.001,-0.0032243,-1.8756e-22,0.054,3.3862,4.6646,0.6,-0.146,0
1.0012,-0.0032596,-1.8746e-22,0.056,3.3666,4.6413,0.6,-0.144,0
1.0012,-0.0032916,-1.8448e-22,0.058,3.3471,4.6179,0.6,-0.142,0
1.0012,-0.0033218,-1.8006e-22,0.06,3.3275,4.5945,0.6,-0.14,0
1.0011,-0.0033495,-1.7985e-22,0.062,3.3079,4.5709,0.6,-0.138,0
1.001,-0.0033767,-6.7341e-23,0.064,3.2884,4.5473,0.6,-0.136,0
1.0009,-0.0034032,2.5516e-22,0.066,3.2688,4.5236,0.6,-0.134,0
1.0007,-0.00343,3.5779e-22,0.068,3.2493,4.4999,0.6,-0.132,0
1.0004,-0.0034569,3.5615e-22,0.07,3.2298,4.4762,0.6,-0.13,0
1.0001,-0.0034856,2.4699e-22,0.072,3.2102,4.4524,0.6,-0.128,0
