"U:0","U:1","U:2","arc_length","p","total(p)","Points:0","Points:1","Points:2"
0.21358,-0.021081,2.7106e-22,0,3.8944,4.6871,0.6,-0.2,0
0.72847,0.0001311,-1.39e-22,0.002,3.8726,4.9679,0.6,-0.198,0
0.82239,0.00022565,-2.2299e-22,0.004,3.8522,5.0303,0.6,-0.196,0
0.87092,0.00040134,-2.2189e-22,0.006,3.835,5.0585,0.6,-0.194,0
0.90802,0.00041521,-4.8699e-23,0.008,3.8162,5.075,0.6,-0.192,0
0.9394,0.0003481,2.106e-22,0.01,3.7966,5.0856,0.6,-0.19,0
0.9592,0.00059813,8.8523e-23,0.012,3.7769,5.0847,0.6,-0.188,0
0.97671,0.00078041,-3.4254e-23,0.014,3.7573,5.0813,0.6,-0.186,0
0.98967,0.00082727,-1.5844e-22,0.016,3.7377,5.073,0.6,-0.184,0
0.99967,0.00095734,-4.1377e-23,0.018,3.7181,5.0613,0.6,-0.182,0
1.0082,0.0011291,1.964e-22,0.02,3.6984,5.048,0.6,-0.18,0
1.0138,0.0012238,8.1786e-23,0.022,3.6788,5.0313,0.6,-0.178,0
1.0188,0.0013291,-3.3206e-23,0.024,3.6592,5.0138,0.6,-0.176,0
1.0225,0.0014554,-1.4896e-22,0.026,3.6396,4.9948,0.6,-0.174,0
1.0254,0.0015714,-3.801e-23,0.028,3.62,4.9749,0.6,-0.172,0
1.0279,0.0016821,1.8638e-22,0.03,3.6004,4.9544,0.6,-0.17,0
1.0296,0.0017961,7.7134e-23,0.032,3.5807,4.9329,0.6,-0.168,0
1.0311,0.0019098,-3.2294e-23,0.034,3.5611,4.9112,0.6,-0.166,0
1.0322,0.0020229,-1.4209e-22,0.036,3.5415,4.889,0.6,-0.164,0
1.033,0.002137,-3.5615e-23,0.038,3.5219,4.8665,0.6,-0.162,0
1.0337,0.0022517,1.7908e-22,0.04,3.5023,4.8438,0.6,-0.16,0
1.0341,0.0023687,7.3851e-23,0.042,3.4826,4.8208,0.6,-0.158,0
1.0344,0.0024869,-3.1447e-23,0.044,3.463,4.7976,0.6,-0.156,0
1.0346,0.0026076,-1.3689e-22,0.046,3.4434,4.7743,0.6,-0.154,0
1.0347,0.002731,-3.3978e-23,0.048,3.4237,4.7508,0.6,-0.152,0
1.0347,0.0028558,1.7318e-22,0.05,3.4041,4.7273,0.6,-0.15,0
1.0346,0.002986,7.1334e-23,0.052,3.3845,4.7036,0.6,-0.148,0
1.0345,0.0031182,-3.0531e-23,0.054,3.3648,4.6799,0.6,-0.146,0
1.0343,0.0032547,-1.3244e-22,0.056,3.3452,4.6561,0.6,-0.144,0
1.0341,0.0033957,-3.2721e-23,0.058,3.3256,4.6323,0.6,-0.142,0
1.0338,0.0035389,1.6788e-22,0.06,3.3059,4.6084,0.6,-0.14,0
1.0335,0.0036901,6.9135e-23,0.062,3.2863,4.5844,0.6,-0.138,0
1.0332,0.0038442,2.6588e-24,0.064,3.2666,4.5604,0.6,-0.136,0
1.0328,0.0040042,6.7813e-25,0.066,3.247,4.5364,0.6,-0.134,0
1.0324,0.0041704,6.5175e-23,0.068,3.2273,4.5123,0.6,-0.132,0
1.032,0.0043398,1.6294e-22,0.07,3.2077,4.4882,0.6,-0.13,0
1.0315,0.0045192,1.77e-23,0.072,3.188,4.4641,0.6,-0.128,0
1.031,0.0047023,-6.3247e-23,0.074,3.1684,4.4399,0.6,-0.126,0
1.0305,0.0048927,-1.5709e-23,0.076,3.1488,4.4157,0.6,-0.124,0
1.03,0.0050912,6.7857e-25,0.078,3.1291,4.3915,0.6,-0.122,0
1.0294,0.0052937,1.4788e-24,0.08,3.1095,4.3672,0.6,-0.12,0
1.0288,0.0055096,-4.5576e-23,0.082,3.0898,4.3428,0.6,-0.118,0
1.0281,0.0057303,-6.1213e-23,0.084,3.0702,4.3184,0.6,-0.116,0
1.0274,0.0059608,-1.4063e-23,0.086,3.0506,4.294,0.6,-0.114,0
1.0266,0.0062018,1.6646e-24,0.088,3.0309,4.2695,0.6,-0.112,0
1.0258,0.0064482,1.6685e-24,0.09,3.0113,4.2449,0.6,-0.11,0
1.0248,0.0067118,1.6731e-24,0.092,2.9917,4.2202,0.6,-0.108,0
1.0238,0.0069821,1.678e-24,0.094,2.972,4.1954,0.6,-0.106,0
1.0227,0.0072655,1.6833e-24,0.096,2.9524,4.1705,0.6,-0.104,0
1.0215,0.0075639,3.1665e-23,0.098,2.9328,4.1455,0.6,-0.102,0
1.0202,0.0078697,7.6645e-23,0.1,2.9132,4.1204,0.6,-0.1,0
1.0187,0.0082007,3.135e-23,0.102,2.8936,4.0949,0.6,-0.098,0
1.017,0.0085415,-1.3835e-23,0.104,2.874,4.0694,0.6,-0.096,0
1.0151,0.0089019,-5.8797e-23,0.106,2.8544,4.0435,0.6,-0.094,0
1.0128,0.0092854,-4.3579e-23,0.108,2.8348,4.0173,0.6,-0.092,0
1.0105,0.0096804,1.7315e-24,0.11,2.8152,3.9909,0.6,-0.09,0
1.0074,0.010116,4.6084e-23,0.112,2.7956,3.9638,0.6,-0.088,0
1.0041,0.010566,6.0741e-23,0.114,2.7761,3.9363,0.6,-0.086,0
1.0002,0.011048,1.6012e-23,0.116,2.7565,3.9081,0.6,-0.084,0
0.99548,0.011563,9.2404e-25,0.118,2.737,3.8791,0.6,-0.082,0
0.99039,0.012095,6.5746e-25,0.12,2.7175,3.8496,0.6,-0.08,0
0.98384,0.01268,4.4866e-23,0.122,2.698,3.8184,0.6,-0.078,0
0.97673,0.01328,5.947e-23,0.124,2.6785,3.7867,0.6,-0.076,0
0.9685,0.013914,1.4868e-23,0.126,2.659,3.7538,0.6,-0.074,0
0.95914,0.014573,-2.9105e-23,0.128,2.6396,3.7197,0.6,-0.072,0
0.94921,0.015245,-7.2764e-23,0.13,2.6202,3.685,0.6,-0.07,0
0.93774,0.01594,-7.2215e-23,0.132,2.6008,3.6488,0.6,-0.068,0
0.92589,0.016638,-5.7111e-23,0.134,2.5814,3.6123,0.6,-0.066,0
0.91326,0.017339,-1.29e-23,0.136,2.5621,3.5752,0.6,-0.064,0
0.90016,0.018029,3.0712e-23,0.138,2.5427,3.5378,0.6,-0.062,0
0.88683,0.018713,7.4025e-23,0.14,2.5234,3.5003,0.6,-0.06,0
0.87329,0.019356,7.3471e-23,0.142,2.5042,3.463,0.6,-0.058,0
0.85985,0.019978,5.8481e-23,0.144,2.4849,3.4259,0.6,-0.056,0
0.84658,0.020555,1.4621e-23,0.146,2.4657,3.3892,0.6,-0.054,0
0.83375,0.021072,-2.8563e-23,0.148,2.4464,3.3532,0.6,-0.052,0
0.82114,0.02156,-7.141e-23,0.15,2.4272,3.3176,0.6,-0.05,0
0.80946,0.021941,-7.0833e-23,0.152,2.408,3.2832,0.6,-0.048,0
0.79815,0.022283,-1.3612e-23,0.154,2.3888,3.2492,0.6,-0.046,0
0.78758,0.022546,1.5689e-22,0.156,2.3697,3.2161,0.6,-0.044,0
0.77779,0.02273,2.1256e-22,0.158,2.3505,3.1839,0.6,-0.042,0
0.7684,0.022874,2.1082e-22,0.16,2.3313,3.1522,0.6,-0.04,0
0.76013,0.022904,-8.479e-23,0.162,2.3121,3.1216,0.6,-0.038,0
0.7522,0.022901,-2.2601e-22,0.164,2.2929,3.0913,0.6,-0.036,0
0.74496,0.022831,-5.8469e-23,0.166,2.2737,3.0618,0.6,-0.034,0
0.7383,0.022706,2.6815e-23,0.168,2.2545,3.0328,0.6,-0.032,0
0.73193,0.022554,7.0967e-23,0.17,2.2353,3.0041,0.6,-0.03,0
0.72626,0.022339,-9.4809e-23,0.172,2.2161,2.9761,0.6,-0.028,0
0.72075,0.02211,-1.5055e-22,0.174,2.1968,2.9482,0.6,-0.026,0
0.71559,0.021853,1.3772e-23,0.176,2.1776,2.9206,0.6,-0.024,0
0.71067,0.021581,9.444e-23,0.178,2.1583,2.8933,0.6,-0.022,0
0.70585,0.021302,1.3328e-22,0.18,2.139,2.866,0.6,-0.02,0
0.70125,0.021016,9.2143e-23,0.182,2.1197,2.839,0.6,-0.018,0
0.69668,0.020733,3.8569e-23,0.184,2.1004,2.812,0.6,-0.016,0
0.69218,0.020456,-3.988e-23,0.186,2.0811,2.7851,0.6,-0.014,0
0.68769,0.020191,-6.5629e-23,0.188,2.0618,2.7582,0.6,-0.012,0
0.68321,0.019934,-6.5025e-23,0.19,2.0425,2.7313,0.6,-0.01,0
0.6787,0.019705,-2.601e-23,0.192,2.0232,2.7044,0.6,-0.008,0
0.67418,0.019487,-1.1705e-29,0.194,2.0038,2.6775,0.6,-0.006,0
0.66962,0.019293,-4.6821e-29,0.196,1.9845,2.6506,0.6,-0.004,0
0.66503,0.019124,-3.5069e-29,0.198,1.9651,2.6238,0.6,-0.002,0
0.66042,0.018968,1.175e-31,0.2,1.9458,2.5969,0.6,0,0
0.65579,0.018851,3.5233e-29,0.202,1.9264,2.57,0.6,0.002,0
0.65116,0.018748,4.6915e-29,0.204,1.9071,2.5431,0.6,0.004,0
0.64654,0.01867,1.1729e-29,0.206,1.8878,2.5163,0.6,0.006,0
0.64196,0.018616,-2.3094e-23,0.208,1.8684,2.4896,0.6,0.008,0
0.63741,0.018575,-5.7736e-23,0.21,1.8491,2.4629,0.6,0.01,0
0.633,0.018565,-5.7121e-23,0.212,1.8297,2.4363,0.6,0.012,0
0.62866,0.018563,-3.379e-23,0.214,1.8104,2.4098,0.6,0.014,0
0.62446,0.018578,3.4969e-23,0.216,1.7911,2.3835,0.6,0.016,0
0.62046,0.018605,7.9424e-23,0.218,1.7718,2.3574,0.6,0.018,0
0.61656,0.018638,1.1173e-22,0.22,1.7525,2.3313,0.6,0.02,0
0.61304,0.018681,7.6991e-23,0.222,1.7332,2.3056,0.6,0.022,0
0.60967,0.018724,1.0971e-23,0.224,1.7139,2.2799,0.6,0.024,0
0.60662,0.018769,-1.1762e-22,0.226,1.6947,2.2546,0.6,0.026,0
0.60392,0.01881,-7.647e-23,0.228,1.6754,2.2295,0.6,0.028,0
0.6014,0.01885,4.9548e-23,0.23,1.6561,2.2046,0.6,0.03,0
0.59949,0.018878,2.2469e-23,0.232,1.6369,2.1801,0.6,0.032,0
0.59779,0.0189,-3.6979e-23,0.234,1.6177,2.1558,0.6,0.034,0
0.59654,0.018912,-1.6116e-22,0.236,1.5985,2.1319,0.6,0.036,0
0.59577,0.01891,-6.1903e-23,0.238,1.5793,2.1083,0.6,0.038,0
0.59524,0.018901,1.4908e-22,0.24,1.5601,2.0849,0.6,0.04,0
0.59547,0.018869,1.4726e-22,0.242,1.5409,2.062,0.6,0.042,0
0.59598,0.018828,1.0725e-22,0.244,1.5217,2.0394,0.6,0.044,0
0.59703,0.01877,-9.1489e-24,0.246,1.5025,2.0171,0.6,0.046,0
0.59867,0.018692,-4.7546e-23,0.248,1.4834,1.9953,0.6,0.048,0
0.60059,0.018605,-4.6942e-23,0.25,1.4642,1.9737,0.6,0.05,0
0.60345,0.018488,-1.8777e-23,0.252,1.4451,1.9528,0.6,0.052,0
0.60663,0.018361,8.4352e-24,0.254,1.4259,1.9321,0.6,0.054,0
0.61046,0.018213,3.374e-23,0.256,1.4068,1.912,0.6,0.056,0
0.61499,0.018044,4.1785e-23,0.258,1.3877,1.8924,0.6,0.058,0
0.61988,0.017865,4.12e-23,0.26,1.3685,1.873,0.6,0.06,0
0.62586,0.017656,1.5314e-23,0.262,1.3494,1.8545,0.6,0.062,0
0.63222,0.017439,-9.5877e-24,0.264,1.3303,1.8364,0.6,0.064,0
0.63935,0.017203,-3.2522e-23,0.266,1.3111,1.8189,0.6,0.066,0
0.64726,0.016952,-3.978e-23,0.268,1.292,1.802,0.6,0.068,0
0.65556,0.016692,-3.92e-23,0.27,1.2729,1.7855,0.6,0.07,0
0.66502,0.016409,-1.568e-23,0.272,1.2537,1.77,0.6,0.072,0
0.67483,0.016118,6.843e-24,0.274,1.2345,1.7549,0.6,0.074,0
0.68537,0.015811,2.7371e-23,0.276,1.2153,1.7405,0.6,0.076,0
0.69656,0.015486,2.069e-23,0.278,1.1961,1.7267,0.6,0.078,0
0.70806,0.015153,4.0272e-25,0.28,1.1769,1.7133,0.6,0.08,0
0.72037,0.014793,-1.1694e-24,0.282,1.1577,1.7008,0.6,0.082,0
0.73289,0.014423,4.3639e-24,0.284,1.1384,1.6886,0.6,0.084,0
0.74581,0.014036,2.4107e-23,0.286,1.1191,1.6769,0.6,0.086,0
0.75901,0.013634,1.7692e-23,0.288,1.0998,1.6656,0.6,0.088,0
0.77234,0.013224,-1.8039e-24,0.29,1.0804,1.6546,0.6,0.09,0
0.78589,0.012803,-1.8584e-23,0.292,1.061,1.6441,0.6,0.092,0
0.79944,0.012381,-2.4215e-23,0.294,1.0416,1.6336,0.6,0.094,0
0.81299,0.01196,-7.5518e-24,0.296,1.0222,1.6234,0.6,0.096,0
0.82642,0.01155,9.1973e-24,0.298,1.0027,1.6132,0.6,0.098,0
0.83979,0.011144,2.5989e-23,0.3,0.98316,1.6031,0.6,0.1,0
0.85275,0.010767,9.3328e-24,0.302,0.96359,1.5928,0.6,0.102,0
0.86551,0.010402,-1.7676e-24,0.304,0.94401,1.5824,0.6,0.104,0
0.87785,0.010062,-1.7645e-24,0.306,0.9244,1.5718,0.6,0.106,0
0.88963,0.009748,-1.7615e-24,0.308,0.90476,1.5607,0.6,0.108,0
0.90113,0.0094474,-1.7586e-24,0.31,0.8851,1.5495,0.6,0.11,0
0.91158,0.0091824,-1.7555e-24,0.312,0.86542,1.5372,0.6,0.112,0
0.92164,0.008927,-5.9305e-24,0.314,0.84573,1.5246,0.6,0.114,0
0.93091,0.0086909,-1.8455e-23,0.316,0.82603,1.5113,0.6,0.116,0
0.93934,0.0084696,-1.4314e-23,0.318,0.80632,1.4971,0.6,0.118,0
0.94737,0.0082558,-1.8339e-24,0.32,0.7866,1.4825,0.6,0.12,0
0.95417,0.0080594,-6.7405e-25,0.322,0.76687,1.4666,0.6,0.122,0
0.96061,0.0078682,-3.8868e-24,0.324,0.74714,1.4503,0.6,0.124,0
0.96629,0.0076876,-1.5838e-23,0.326,0.72741,1.4332,0.6,0.126,0
0.97133,0.0075174,1.7504e-24,0.328,0.70767,1.4153,0.6,0.128,0
0.97604,0.0073526,3.4119e-23,0.33,0.68793,1.3972,0.6,0.13,0
0.97993,0.0072044,1.3747e-23,0.332,0.66819,1.378,0.6,0.132,0
0.98358,0.0070621,-5.7626e-25,0.334,0.64845,1.3586,0.6,0.134,0
0.98677,0.0069316,-2.8118e-24,0.336,0.62872,1.3387,0.6,0.136,0
0.98959,0.0068132,9.3457e-24,0.338,0.60899,1.3184,0.6,0.138,0
0.99221,0.0067008,2.8705e-23,0.34,0.58926,1.2978,0.6,0.14,0
0.99437,0.0066055,-6.5985e-24,0.342,0.56954,1.2767,0.6,0.142,0
0.9964,0.0065154,-2.4793e-23,0.344,0.54982,1.2555,0.6,0.144,0
0.99817,0.0064357,-8.7947e-24,0.346,0.53012,1.234,0.6,0.146,0
0.99973,0.0063653,7.2499e-24,0.348,0.51042,1.2122,0.6,0.148,0
